Category,precision,recall,f1-score,accuracy
Advertising,0.7352941176470589,0.5952380952380952,0.6578947368421053,0.6
Analytics,1.0,0.23529411764705882,0.38095238095238093,0.24
Application Development,0.6666666666666666,0.08,0.14285714285714285,0.08
Backend,0.8333333333333334,0.23809523809523808,0.37037037037037035,0.24
Banking,0.9166666666666666,0.3235294117647059,0.4782608695652174,0.32
Bitcoin,0.7777777777777778,0.5,0.6086956521739131,0.5
Cloud,0.4634146341463415,0.5588235294117647,0.5066666666666667,0.56
Data,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.21
Database,0.8,0.14814814814814814,0.25,0.15
Education,0.8148148148148148,0.5789473684210527,0.6769230769230768,0.58
Email,0.8043478260869565,0.8604651162790697,0.8314606741573034,0.86
Enterprise,0.5111111111111111,0.30666666666666664,0.3833333333333333,0.31
Events,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.83
Financial,0.430622009569378,0.7377049180327869,0.5438066465256799,0.74
Games,0.7631578947368421,0.7435897435897436,0.7532467532467534,0.74
Government,0.6,0.6101694915254238,0.6050420168067226,0.61
Internet of Things,0.75,0.46875,0.5769230769230769,0.47
Mapping,0.6428571428571429,0.9,0.75,0.9
Medical,0.5714285714285714,0.631578947368421,0.6,0.63
Messaging,0.7482014388489209,0.9203539823008849,0.8253968253968255,0.92
Music,0.868421052631579,0.8461538461538461,0.8571428571428572,0.85
Other,0.0,0.0,0.0,0.0
Payments,0.7413793103448276,0.8865979381443299,0.8075117370892019,0.89
Photos,0.875,0.6222222222222222,0.7272727272727274,0.62
Project Management,0.8,0.7272727272727273,0.761904761904762,0.73
Reference,0.3333333333333333,0.046511627906976744,0.08163265306122448,0.05
Science,0.7068965517241379,0.6507936507936508,0.6776859504132232,0.65
Search,0.5918367346938775,0.48333333333333334,0.5321100917431193,0.48
Security,0.8148148148148148,0.43137254901960786,0.5641025641025642,0.43
Shipping,0.875,0.84,0.8571428571428572,0.84
Social,0.654320987654321,0.5888888888888889,0.6198830409356726,0.59
Sports,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.76
Stocks,0.9629629629629629,0.8387096774193549,0.896551724137931,0.84
Telephony,0.8333333333333334,0.4918032786885246,0.6185567010309279,0.49
Tools,0.3137254901960784,0.7,0.43326885880077365,0.7
Transportation,0.7560975609756098,0.6078431372549019,0.6739130434782609,0.61
Travel,0.86,0.7962962962962963,0.826923076923077,0.8
Video,0.7586206896551724,0.8148148148148148,0.7857142857142857,0.81
Weather,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.81
eCommerce,0.68,0.5795454545454546,0.6257668711656442,0.58
