Category,precision,recall,f1-score,accuracy
0,0.734375,0.573170731707317,0.6438356164383561,0.57
1,0.8,0.8115942028985508,0.8057553956834532,0.81
2,0.7678571428571429,0.7049180327868853,0.7350427350427351,0.7
3,0.7555555555555555,0.9444444444444444,0.8395061728395062,0.94
4,0.7652173913043478,0.8627450980392157,0.8110599078341014,0.86
5,0.5683453237410072,0.8586956521739131,0.683982683982684,0.86
6,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.69
7,0.6727272727272727,0.6166666666666667,0.6434782608695652,0.62
8,0.8260869565217391,0.6168831168831169,0.7063197026022304,0.62
9,0.8375,0.7204301075268817,0.7745664739884393,0.72
