Category,precision,recall,f1-score,accuracy
Enterprise,0.7619047619047619,0.23880597014925373,0.36363636363636365,0.24
Financial,0.7424242424242424,0.7538461538461538,0.7480916030534351,0.75
Government,0.8983050847457628,0.7361111111111112,0.8091603053435116,0.74
Mapping,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.89
Messaging,0.8701298701298701,0.8589743589743589,0.8645161290322582,0.86
Payments,0.8037383177570093,0.86,0.8309178743961353,0.86
Social,0.8152173913043478,0.7575757575757576,0.7853403141361256,0.76
Telephony,0.8378378378378378,0.6326530612244898,0.7209302325581396,0.63
Tools,0.5461847389558233,0.8717948717948718,0.671604938271605,0.87
eCommerce,0.8817204301075269,0.6949152542372882,0.7772511848341233,0.69
