Category,precision,recall,f1-score,accuracy
Advertising,0.696969696969697,0.5348837209302325,0.6052631578947368,0.53
Email,0.9318181818181818,0.803921568627451,0.8631578947368421,0.8
Enterprise,0.5616438356164384,0.5694444444444444,0.5655172413793104,0.57
Financial,0.8289473684210527,0.8289473684210527,0.8289473684210527,0.83
Government,0.7313432835820896,0.7777777777777778,0.7538461538461538,0.78
Mapping,0.810126582278481,0.8648648648648649,0.8366013071895425,0.86
Messaging,0.8962264150943396,0.8189655172413793,0.8558558558558559,0.82
Payments,0.7625,0.8026315789473685,0.7820512820512822,0.8
Reference,0.3793103448275862,0.2391304347826087,0.29333333333333333,0.24
Science,0.7636363636363637,0.9333333333333333,0.84,0.93
Search,0.6458333333333334,0.543859649122807,0.5904761904761905,0.54
Security,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.67
Social,0.7083333333333334,0.7472527472527473,0.7272727272727272,0.75
Sports,0.9795918367346939,0.8421052631578947,0.9056603773584905,0.84
Telephony,0.6440677966101694,0.7450980392156863,0.6909090909090908,0.75
Tools,0.6417112299465241,0.7547169811320755,0.6936416184971098,0.75
Transportation,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.82
Travel,0.7924528301886793,0.7777777777777778,0.7850467289719626,0.78
Video,0.9393939393939394,0.8611111111111112,0.8985507246376813,0.86
eCommerce,0.8172043010752689,0.8172043010752689,0.8172043010752688,0.82
