Category,precision,recall,f1-score,accuracy
Advertising,0.7567567567567568,0.6666666666666666,0.7088607594936708,0.67
Analytics,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.41
Application Development,0.4444444444444444,0.16,0.23529411764705882,0.16
Backend,0.34615384615384615,0.42857142857142855,0.3829787234042554,0.43
Banking,0.9333333333333333,0.4117647058823529,0.5714285714285713,0.41
Bitcoin,0.6521739130434783,0.5357142857142857,0.5882352941176471,0.54
Cloud,0.5405405405405406,0.5882352941176471,0.5633802816901409,0.59
Data,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.42
Database,0.6111111111111112,0.4074074074074074,0.4888888888888889,0.41
Education,0.8387096774193549,0.6842105263157895,0.7536231884057972,0.68
Email,0.926829268292683,0.8837209302325582,0.9047619047619047,0.88
Enterprise,0.4782608695652174,0.5866666666666667,0.5269461077844311,0.59
Events,0.9,0.75,0.8181818181818182,0.75
Financial,0.5398773006134969,0.7213114754098361,0.6175438596491228,0.72
Games,0.8235294117647058,0.717948717948718,0.767123287671233,0.72
Government,0.6857142857142857,0.8135593220338984,0.744186046511628,0.81
Internet of Things,0.8095238095238095,0.53125,0.6415094339622642,0.53
Mapping,0.6888888888888889,0.8857142857142857,0.775,0.89
Medical,0.6666666666666666,0.631578947368421,0.6486486486486486,0.63
Messaging,0.8521739130434782,0.8672566371681416,0.8596491228070176,0.87
Music,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.77
Other,0.2,0.03571428571428571,0.06060606060606061,0.04
Payments,0.7692307692307693,0.8247422680412371,0.7960199004975124,0.82
Photos,0.868421052631579,0.7333333333333333,0.7951807228915663,0.73
Project Management,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.73
Reference,0.42857142857142855,0.3488372093023256,0.38461538461538464,0.35
Science,0.746031746031746,0.746031746031746,0.746031746031746,0.75
Search,0.5925925925925926,0.5333333333333333,0.5614035087719299,0.53
Security,0.7,0.5490196078431373,0.6153846153846154,0.55
Shipping,0.8695652173913043,0.8,0.8333333333333333,0.8
Social,0.631578947368421,0.6666666666666666,0.6486486486486486,0.67
Sports,0.9210526315789473,0.8536585365853658,0.8860759493670887,0.85
Stocks,0.9166666666666666,0.7096774193548387,0.7999999999999999,0.71
Telephony,0.75,0.6885245901639344,0.7179487179487181,0.69
Tools,0.45701357466063347,0.63125,0.5301837270341206,0.63
Transportation,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.75
Travel,0.88,0.8148148148148148,0.8461538461538461,0.81
Video,0.8070175438596491,0.8518518518518519,0.8288288288288288,0.85
Weather,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.78
eCommerce,0.648936170212766,0.6931818181818182,0.6703296703296703,0.69
