Category,precision,recall,f1-score,accuracy
Advertising,0.8095238095238095,0.6938775510204082,0.7472527472527472,0.69
Bitcoin,0.72,0.75,0.7346938775510204,0.75
Cloud,0.5945945945945946,0.6875,0.6376811594202898,0.69
Data,0.5,0.4074074074074074,0.44897959183673464,0.41
Database,0.38095238095238093,0.34782608695652173,0.3636363636363636,0.35
Education,0.8,0.6363636363636364,0.7088607594936709,0.64
Email,0.7090909090909091,0.8666666666666667,0.7800000000000001,0.87
Enterprise,0.5555555555555556,0.39325842696629215,0.4605263157894737,0.39
Financial,0.732824427480916,0.7007299270072993,0.7164179104477613,0.7
Games,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.83
Government,0.7213114754098361,0.6285714285714286,0.6717557251908397,0.63
Mapping,0.6597938144329897,0.8311688311688312,0.735632183908046,0.83
Messaging,0.7777777777777778,0.8909090909090909,0.8305084745762712,0.89
Music,0.8571428571428571,0.8108108108108109,0.8333333333333334,0.81
Other,0.4,0.06060606060606061,0.10526315789473685,0.06
Payments,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.81
Photos,0.6666666666666666,0.7096774193548387,0.6875,0.71
Project Management,0.59375,0.6785714285714286,0.6333333333333334,0.68
Reference,0.30952380952380953,0.23636363636363636,0.26804123711340205,0.24
Science,0.7580645161290323,0.6811594202898551,0.7175572519083969,0.68
Search,0.5686274509803921,0.5918367346938775,0.58,0.59
Security,0.7037037037037037,0.6551724137931034,0.6785714285714286,0.66
Social,0.6704545454545454,0.686046511627907,0.6781609195402298,0.69
Sports,0.8333333333333334,0.8536585365853658,0.8433734939759037,0.85
Telephony,0.6774193548387096,0.6176470588235294,0.6461538461538462,0.62
Tools,0.5028248587570622,0.6496350364963503,0.5668789808917197,0.65
Transportation,0.5853658536585366,0.7058823529411765,0.64,0.71
Travel,0.7692307692307693,0.7017543859649122,0.7339449541284404,0.7
Video,0.74,0.9736842105263158,0.8409090909090909,0.97
eCommerce,0.7446808510638298,0.7142857142857143,0.7291666666666666,0.71
