Category,precision,recall,f1-score,accuracy
Advertising,0.6857142857142857,0.5581395348837209,0.6153846153846154,0.56
Email,0.7962962962962963,0.8431372549019608,0.8190476190476189,0.84
Enterprise,0.5735294117647058,0.5416666666666666,0.557142857142857,0.54
Financial,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.79
Government,0.7166666666666667,0.6825396825396826,0.6991869918699187,0.68
Mapping,0.8125,0.8783783783783784,0.8441558441558441,0.88
Messaging,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.83
Payments,0.7380952380952381,0.8157894736842105,0.775,0.82
Reference,0.34375,0.2391304347826087,0.2820512820512821,0.24
Science,0.7115384615384616,0.8222222222222222,0.7628865979381444,0.82
Search,0.7045454545454546,0.543859649122807,0.613861386138614,0.54
Security,0.7,0.7777777777777778,0.7368421052631577,0.78
Social,0.6764705882352942,0.7582417582417582,0.7150259067357514,0.76
Sports,0.9622641509433962,0.8947368421052632,0.9272727272727272,0.89
Telephony,0.6181818181818182,0.6666666666666666,0.6415094339622642,0.67
Tools,0.6071428571428571,0.6415094339622641,0.6238532110091742,0.64
Transportation,0.7619047619047619,0.7111111111111111,0.735632183908046,0.71
Travel,0.7586206896551724,0.8148148148148148,0.7857142857142857,0.81
Video,0.7435897435897436,0.8055555555555556,0.7733333333333334,0.81
eCommerce,0.8089887640449438,0.7741935483870968,0.7912087912087912,0.77
