Category,precision,recall,f1-score,accuracy
Advertising,0.9090909090909091,0.6122448979591837,0.7317073170731708,0.61
Bitcoin,0.8333333333333334,0.625,0.7142857142857143,0.62
Cloud,0.6470588235294118,0.6875,0.6666666666666667,0.69
Data,0.6470588235294118,0.4074074074074074,0.5,0.41
Database,0.6,0.391304347826087,0.47368421052631576,0.39
Education,0.7948717948717948,0.7045454545454546,0.746987951807229,0.7
Email,0.8636363636363636,0.8444444444444444,0.853932584269663,0.84
Enterprise,0.5301204819277109,0.4943820224719101,0.5116279069767442,0.49
Financial,0.7272727272727273,0.7591240875912408,0.7428571428571429,0.76
Games,0.9090909090909091,0.8695652173913043,0.888888888888889,0.87
Government,0.8088235294117647,0.7857142857142857,0.7971014492753622,0.79
Mapping,0.6559139784946236,0.7922077922077922,0.7176470588235294,0.79
Messaging,0.8016528925619835,0.8818181818181818,0.8398268398268398,0.88
Music,0.9428571428571428,0.8918918918918919,0.9166666666666667,0.89
Other,0.4,0.06060606060606061,0.10526315789473685,0.06
Payments,0.7157894736842105,0.8395061728395061,0.7727272727272727,0.84
Photos,0.9583333333333334,0.7419354838709677,0.8363636363636364,0.74
Project Management,0.6956521739130435,0.5714285714285714,0.6274509803921569,0.57
Reference,0.375,0.21818181818181817,0.27586206896551724,0.22
Science,0.7714285714285715,0.782608695652174,0.7769784172661871,0.78
Search,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.55
Security,0.7407407407407407,0.6896551724137931,0.7142857142857143,0.69
Social,0.6956521739130435,0.7441860465116279,0.7191011235955057,0.74
Sports,0.918918918918919,0.8292682926829268,0.8717948717948718,0.83
Telephony,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.59
Tools,0.4881516587677725,0.7518248175182481,0.5919540229885057,0.75
Transportation,0.717948717948718,0.8235294117647058,0.767123287671233,0.82
Travel,0.8461538461538461,0.7719298245614035,0.8073394495412844,0.77
Video,0.8571428571428571,0.9473684210526315,0.9,0.95
eCommerce,0.7523809523809524,0.8061224489795918,0.7783251231527093,0.81
