Category,precision,recall,f1-score,accuracy
Advertising,0.9,0.5510204081632653,0.6835443037974683,0.55
Bitcoin,0.9285714285714286,0.5416666666666666,0.6842105263157894,0.54
Cloud,0.631578947368421,0.75,0.6857142857142857,0.75
Data,0.9,0.3333333333333333,0.48648648648648646,0.33
Database,1.0,0.17391304347826086,0.29629629629629634,0.17
Education,0.84375,0.6136363636363636,0.7105263157894737,0.61
Email,0.7407407407407407,0.8888888888888888,0.808080808080808,0.89
Enterprise,0.7586206896551724,0.24719101123595505,0.3728813559322034,0.25
Financial,0.5878787878787879,0.708029197080292,0.642384105960265,0.71
Games,0.9069767441860465,0.8478260869565217,0.8764044943820224,0.85
Government,0.8135593220338984,0.6857142857142857,0.744186046511628,0.69
Mapping,0.5714285714285714,0.8831168831168831,0.693877551020408,0.88
Messaging,0.7338129496402878,0.9272727272727272,0.819277108433735,0.93
Music,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.86
Other,0.0,0.0,0.0,0.0
Payments,0.6568627450980392,0.8271604938271605,0.7322404371584699,0.83
Photos,0.8846153846153846,0.7419354838709677,0.8070175438596492,0.74
Project Management,0.68,0.6071428571428571,0.6415094339622641,0.61
Reference,0.45454545454545453,0.09090909090909091,0.15151515151515152,0.09
Science,0.7230769230769231,0.6811594202898551,0.7014925373134329,0.68
Search,0.6666666666666666,0.4489795918367347,0.5365853658536586,0.45
Security,0.8888888888888888,0.41379310344827586,0.5647058823529412,0.41
Social,0.6962025316455697,0.6395348837209303,0.6666666666666667,0.64
Sports,0.9393939393939394,0.7560975609756098,0.8378378378378378,0.76
Telephony,0.7837837837837838,0.4264705882352941,0.5523809523809523,0.43
Tools,0.2836676217765043,0.7226277372262774,0.4074074074074074,0.72
Transportation,0.7777777777777778,0.6176470588235294,0.6885245901639345,0.62
Travel,0.8269230769230769,0.7543859649122807,0.7889908256880734,0.75
Video,0.7659574468085106,0.9473684210526315,0.8470588235294116,0.95
eCommerce,0.7701149425287356,0.6836734693877551,0.7243243243243244,0.68
