Category,precision,recall,f1-score,accuracy
Advertising,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.64
Analytics,0.38095238095238093,0.47058823529411764,0.42105263157894735,0.47
Application Development,0.4117647058823529,0.28,0.3333333333333333,0.28
Backend,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38
Banking,0.8260869565217391,0.5588235294117647,0.6666666666666667,0.56
Bitcoin,0.5675675675675675,0.75,0.6461538461538462,0.75
Cloud,0.5641025641025641,0.6470588235294118,0.6027397260273972,0.65
Data,0.32142857142857145,0.375,0.3461538461538462,0.38
Database,0.5,0.25925925925925924,0.3414634146341463,0.26
Education,0.7058823529411765,0.631578947368421,0.6666666666666667,0.63
Email,0.813953488372093,0.813953488372093,0.8139534883720931,0.81
Enterprise,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.51
Events,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.83
Financial,0.6290322580645161,0.639344262295082,0.6341463414634146,0.64
Games,0.7777777777777778,0.717948717948718,0.7466666666666666,0.72
Government,0.7,0.711864406779661,0.7058823529411764,0.71
Internet of Things,0.6333333333333333,0.59375,0.6129032258064516,0.59
Mapping,0.6896551724137931,0.8571428571428571,0.7643312101910829,0.86
Medical,0.48148148148148145,0.6842105263157895,0.5652173913043478,0.68
Messaging,0.792,0.8761061946902655,0.8319327731092437,0.88
Music,0.8918918918918919,0.8461538461538461,0.868421052631579,0.85
Other,0.125,0.03571428571428571,0.05555555555555556,0.04
Payments,0.7339449541284404,0.8247422680412371,0.7766990291262136,0.82
Photos,0.673469387755102,0.7333333333333333,0.702127659574468,0.73
Project Management,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.82
Reference,0.2222222222222222,0.23255813953488372,0.2272727272727273,0.23
Science,0.6610169491525424,0.6190476190476191,0.6393442622950819,0.62
Search,0.5535714285714286,0.5166666666666667,0.5344827586206896,0.52
Security,0.6744186046511628,0.5686274509803921,0.6170212765957446,0.57
Shipping,0.7307692307692307,0.76,0.7450980392156863,0.76
Social,0.5698924731182796,0.5888888888888889,0.5792349726775957,0.59
Sports,0.8717948717948718,0.8292682926829268,0.8500000000000001,0.83
Stocks,0.9375,0.967741935483871,0.9523809523809523,0.97
Telephony,0.6981132075471698,0.6065573770491803,0.6491228070175438,0.61
Tools,0.5276073619631901,0.5375,0.5325077399380804,0.54
Transportation,0.6071428571428571,0.6666666666666666,0.6355140186915887,0.67
Travel,0.8409090909090909,0.6851851851851852,0.7551020408163266,0.69
Video,0.8070175438596491,0.8518518518518519,0.8288288288288288,0.85
Weather,0.84,0.7777777777777778,0.8076923076923077,0.78
eCommerce,0.6867469879518072,0.6477272727272727,0.6666666666666667,0.65
