Category,precision,recall,f1-score,accuracy
Advertising,0.7931034482758621,0.5348837209302325,0.6388888888888888,0.53
Email,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.78
Enterprise,0.6,0.25,0.35294117647058826,0.25
Financial,0.7116564417177914,0.7631578947368421,0.7365079365079366,0.76
Government,0.7090909090909091,0.6190476190476191,0.6610169491525425,0.62
Mapping,0.7142857142857143,0.8783783783783784,0.787878787878788,0.88
Messaging,0.7786259541984732,0.8793103448275862,0.8259109311740891,0.88
Payments,0.6989247311827957,0.8552631578947368,0.7692307692307692,0.86
Reference,0.5,0.10869565217391304,0.17857142857142855,0.11
Science,0.7272727272727273,0.7111111111111111,0.7191011235955056,0.71
Search,0.76,0.3333333333333333,0.46341463414634143,0.33
Security,0.8823529411764706,0.5555555555555556,0.6818181818181819,0.56
Social,0.7209302325581395,0.6813186813186813,0.7005649717514124,0.68
Sports,1.0,0.7894736842105263,0.8823529411764706,0.79
Telephony,0.6818181818181818,0.5882352941176471,0.631578947368421,0.59
Tools,0.43448275862068964,0.7924528301886793,0.5612472160356348,0.79
Transportation,0.8055555555555556,0.6444444444444445,0.7160493827160493,0.64
Travel,0.8076923076923077,0.7777777777777778,0.7924528301886792,0.78
Video,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.89
eCommerce,0.7692307692307693,0.7526881720430108,0.7608695652173912,0.75
