Category,precision,recall,f1-score,accuracy
Enterprise,0.4925373134328358,0.4925373134328358,0.4925373134328358,0.49
Financial,0.8189655172413793,0.7307692307692307,0.7723577235772358,0.73
Government,0.7857142857142857,0.7638888888888888,0.7746478873239437,0.76
Mapping,0.8648648648648649,0.8888888888888888,0.8767123287671232,0.89
Messaging,0.8148148148148148,0.8461538461538461,0.830188679245283,0.85
Payments,0.7870370370370371,0.85,0.8173076923076923,0.85
Social,0.8144329896907216,0.797979797979798,0.8061224489795918,0.8
Telephony,0.6415094339622641,0.6938775510204082,0.6666666666666666,0.69
Tools,0.6923076923076923,0.75,0.7199999999999999,0.75
eCommerce,0.8867924528301887,0.7966101694915254,0.8392857142857143,0.8
