Category,precision,recall,f1-score,accuracy
Advertising,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.69
Analytics,0.5,0.25,0.3333333333333333,0.25
Application Development,0.35294117647058826,0.3,0.3243243243243243,0.3
Backend,0.5625,0.3333333333333333,0.4186046511627907,0.33
Banking,1.0,0.4583333333333333,0.6285714285714286,0.46
Bitcoin,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.48
Chat,0.7272727272727273,0.5,0.5925925925925926,0.5
Cloud,0.5777777777777777,0.7222222222222222,0.6419753086419753,0.72
Data,0.5,0.2692307692307692,0.35000000000000003,0.27
Database,0.5833333333333334,0.25,0.35000000000000003,0.25
Domains,0.9333333333333333,0.7,0.8,0.7
Education,0.6666666666666666,0.8,0.7272727272727272,0.8
Email,0.875,0.8076923076923077,0.8400000000000001,0.81
Enterprise,0.4659090909090909,0.4823529411764706,0.47398843930635837,0.48
Entertainment,0.5,0.10526315789473684,0.17391304347826086,0.11
Events,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.86
File Sharing,0.75,0.6,0.6666666666666665,0.6
Financial,0.632258064516129,0.8376068376068376,0.7205882352941176,0.84
Games,0.9767441860465116,0.8076923076923077,0.8842105263157894,0.81
Government,0.7424242424242424,0.8166666666666667,0.7777777777777778,0.82
Images,0.2857142857142857,0.15384615384615385,0.2,0.15
Internet of Things,0.6666666666666666,0.5454545454545454,0.6,0.55
Mapping,0.723404255319149,0.8717948717948718,0.7906976744186047,0.87
Media,0.8333333333333334,0.3125,0.45454545454545453,0.31
Medical,0.8,0.7619047619047619,0.7804878048780488,0.76
Messaging,0.8582677165354331,0.8449612403100775,0.8515625,0.84
Music,0.8723404255319149,0.9318181818181818,0.9010989010989012,0.93
News Services,0.6363636363636364,0.5,0.56,0.5
Office,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.07
Other,0.0,0.0,0.0,0.0
Payments,0.8173076923076923,0.8585858585858586,0.8374384236453203,0.86
Photos,0.8461538461538461,0.7021276595744681,0.7674418604651163,0.7
Project Management,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.53
Real Estate,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.67
Reference,0.4482758620689655,0.25,0.32098765432098764,0.25
Science,0.8214285714285714,0.7666666666666667,0.793103448275862,0.77
Search,0.43103448275862066,0.5319148936170213,0.4761904761904762,0.53
Security,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.64
Shipping,0.9166666666666666,0.88,0.8979591836734694,0.88
Social,0.5523809523809524,0.7341772151898734,0.6304347826086956,0.73
Sports,0.8867924528301887,0.9038461538461539,0.8952380952380953,0.9
Stocks,0.8076923076923077,0.875,0.8400000000000001,0.88
Storage,0.6923076923076923,0.45,0.5454545454545455,0.45
Telephony,0.7014925373134329,0.8245614035087719,0.7580645161290324,0.82
Tools,0.43478260869565216,0.6622516556291391,0.5249343832020998,0.66
Transportation,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.83
Travel,0.7884615384615384,0.9111111111111111,0.845360824742268,0.91
Video,0.7213114754098361,0.9166666666666666,0.8073394495412843,0.92
Weather,0.96,0.8571428571428571,0.9056603773584904,0.86
eCommerce,0.7252747252747253,0.717391304347826,0.721311475409836,0.72
