Category,precision,recall,f1-score,accuracy
0,0.6595744680851063,0.6888888888888889,0.6739130434782609,0.69
1,0.9210526315789473,0.6862745098039216,0.7865168539325842,0.69
2,0.4528301886792453,0.5853658536585366,0.5106382978723404,0.59
3,0.813953488372093,0.7664233576642335,0.7894736842105262,0.77
4,0.6451612903225806,0.6557377049180327,0.6504065040650406,0.66
5,0.6901408450704225,0.6805555555555556,0.6853146853146853,0.68
6,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.77
7,0.675,0.8804347826086957,0.7641509433962266,0.88
8,0.391304347826087,0.18,0.2465753424657534,0.18
9,0.7361111111111112,0.8833333333333333,0.803030303030303,0.88
10,0.4794520547945205,0.7,0.5691056910569106,0.7
11,0.5081967213114754,0.62,0.5585585585585586,0.62
12,0.7413793103448276,0.4942528735632184,0.5931034482758621,0.49
13,0.9111111111111111,0.8913043478260869,0.9010989010989011,0.89
14,0.6956521739130435,0.5333333333333333,0.6037735849056605,0.53
15,0.6013986013986014,0.5584415584415584,0.5791245791245792,0.56
16,0.725,0.6590909090909091,0.6904761904761905,0.66
17,0.6825396825396826,0.8775510204081632,0.7678571428571428,0.88
18,0.8695652173913043,0.8,0.8333333333333333,0.8
19,0.8,0.7741935483870968,0.7868852459016393,0.77
