Category,precision,recall,f1-score,accuracy
0,0.7142857142857143,0.625,0.6666666666666666,0.62
1,0.5454545454545454,0.75,0.631578947368421,0.75
2,0.7291666666666666,0.875,0.7954545454545454,0.88
3,0.9333333333333333,0.7,0.8,0.7
4,0.8780487804878049,0.9,0.8888888888888888,0.9
5,0.8043478260869565,0.925,0.8604651162790697,0.92
6,0.925,0.925,0.925,0.92
7,0.7435897435897436,0.725,0.7341772151898734,0.72
8,0.9142857142857143,0.8,0.8533333333333334,0.8
9,0.71875,0.575,0.6388888888888888,0.57
10,0.8666666666666667,0.975,0.9176470588235294,0.98
11,0.6511627906976745,0.7,0.6746987951807228,0.7
12,0.5964912280701754,0.85,0.7010309278350515,0.85
13,0.28,0.175,0.2153846153846154,0.18
14,0.9024390243902439,0.925,0.9135802469135802,0.92
15,0.8717948717948718,0.85,0.8607594936708861,0.85
16,0.925,0.925,0.925,0.92
17,0.45652173913043476,0.525,0.4883720930232558,0.52
18,0.9333333333333333,0.7,0.8,0.7
19,0.7297297297297297,0.675,0.7012987012987013,0.68
20,0.8043478260869565,0.925,0.8604651162790697,0.92
21,0.8048780487804879,0.825,0.8148148148148148,0.82
22,0.7,0.525,0.6,0.52
23,0.717948717948718,0.7,0.7088607594936709,0.7
24,0.9032258064516129,0.7,0.7887323943661971,0.7
25,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.92
26,0.65,0.65,0.65,0.65
27,0.918918918918919,0.85,0.8831168831168831,0.85
28,0.9210526315789473,0.875,0.8974358974358975,0.88
29,0.8125,0.65,0.7222222222222222,0.65
30,0.8333333333333334,0.875,0.8536585365853658,0.88
31,0.8,0.7,0.7466666666666667,0.7
32,0.8888888888888888,0.8,0.8421052631578947,0.8
33,0.9047619047619048,0.95,0.926829268292683,0.95
34,0.3409090909090909,0.375,0.35714285714285715,0.38
35,0.8275862068965517,0.6,0.6956521739130435,0.6
36,0.32558139534883723,0.7,0.4444444444444444,0.7
37,0.5102040816326531,0.625,0.5617977528089888,0.62
38,0.9743589743589743,0.95,0.9620253164556962,0.95
39,0.4666666666666667,0.35,0.4,0.35
40,0.9411764705882353,0.8,0.8648648648648649,0.8
41,1.0,0.925,0.961038961038961,0.92
42,0.8181818181818182,0.675,0.7397260273972602,0.68
43,0.6666666666666666,0.55,0.6027397260273972,0.55
44,0.27450980392156865,0.35,0.3076923076923077,0.35
45,0.8235294117647058,0.7,0.7567567567567568,0.7
46,0.8048780487804879,0.825,0.8148148148148148,0.82
47,0.8333333333333334,0.625,0.7142857142857143,0.62
48,0.9736842105263158,0.925,0.9487179487179487,0.92
49,0.4642857142857143,0.65,0.5416666666666666,0.65
